City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
134,Bengkulu,ID,82.35,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
135,Tiarei,PF,84.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
138,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
140,Iracoubo,GF,78.17,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
141,Kokoda,PG,83.39,overcast clouds,-8.8785,147.7407,Daito Guest House
144,Kieta,PG,84.49,light rain,-6.2167,155.6333,Uruna Bay Retreat
150,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
157,Balikpapan,ID,85.19,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
163,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
165,Puerto Carreno,CO,78.19,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
173,Ron Phibun,TH,88.72,overcast clouds,8.1791,99.8542,Villa One Homestay&Camping
174,Touros,BR,78.17,few clouds,-5.1989,-35.4608,INN NEW HORIZON
175,Faanui,PF,80.87,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
176,Itarema,BR,77.5,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
177,Pilar,BR,75.13,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
179,Lazaro Cardenas,MX,76.91,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
182,Charters Towers,AU,80.08,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
184,San Ramon,US,75.27,clear sky,37.7799,-121.978,San Ramon Marriott
188,Harper,LR,80.13,scattered clouds,4.375,-7.7169,Screensaver
190,Amalapuram,IN,86.7,scattered clouds,16.5833,82.0167,swayamprabha service apartments
200,Axim,GH,79.74,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
201,Hithadhoo,MV,85.39,overcast clouds,-0.6,73.0833,Scoop Guest House
203,Namatanai,PG,85.41,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
206,Houma,US,75.99,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
210,Biltine,TD,85.41,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
212,Teknaf,BD,85.01,scattered clouds,20.8624,92.3058,Forestry Guesthouse
214,Meulaboh,ID,79.83,light rain,4.1363,96.1285,Kost Pria
215,Tabou,CI,80.2,scattered clouds,4.423,-7.3528,hotêl doufoulougou
221,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
222,Maningrida,AU,88.65,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
224,Hilo,US,78.28,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
227,Sarkand,KZ,76.35,overcast clouds,45.41,79.9186,Гостиница Сарканд
230,Ascension,US,76.1,clear sky,30.2169,-90.9001,Highland Inn
234,Basco,PH,79.23,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
235,San Policarpo,PH,83.35,overcast clouds,12.1791,125.5072,Agapita M. Nicart
236,Butaritari,KI,81.55,light rain,3.0707,172.7902,Isles Sunset Lodge
239,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
241,Trat,TH,83.88,overcast clouds,12.5,102.5,สวนหนิง-อัศ
248,Orocue,CO,77.7,few clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
249,Galle,LK,82.78,overcast clouds,6.0367,80.217,Amangalla
251,Road Town,VG,78.89,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
255,Vao,NC,75.22,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
261,Sotouboua,TG,75.27,overcast clouds,8.5667,0.9833,Auberge Médina
268,Kirakira,SB,83.57,heavy intensity rain,-10.4544,161.9205,SanBiz Lodge
270,Vanimo,PG,80.44,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
276,Biak,ID,83.66,clear sky,-0.9131,122.8766,Penginapan Kim
286,Chhatapur,IN,82.06,scattered clouds,26.2167,87.0167,Rahul Mukhiya
289,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
293,Agua Prieta,MX,77.0,clear sky,31.3,-109.5667,Hotel Real de Agua Prieta
298,Nieuw Amsterdam,SR,80.02,few clouds,5.8833,-55.0833,Hotel Stardust
303,Bonthe,SL,80.64,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
306,Pahrump,US,75.25,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
309,Christchurch,NZ,76.41,clear sky,-43.5333,172.6333,The George
311,San Rafael Del Sur,NI,83.37,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
313,Sharjah,AE,78.78,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
318,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
320,Cockburn Town,TC,77.2,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
321,Bambanglipuro,ID,84.81,overcast clouds,-7.95,110.2833,Puri Brata
326,Mogadishu,SO,80.76,moderate rain,2.0371,45.3438,Hotel Juba
329,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
338,Gigmoto,PH,84.97,scattered clouds,13.7796,124.39,Cj's Travellers Inn
340,San Ignacio,BZ,87.94,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
344,Humberto De Campos,BR,75.85,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
345,Jardim,BR,77.59,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
349,Laguna,US,84.49,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
352,Rabak,SD,85.64,overcast clouds,13.1809,32.74,فندق ربك Rabak Hotel
355,Pedernales,DO,76.68,overcast clouds,18.0384,-71.744,Hotel Costa Marina
356,Lucea,JM,80.46,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
359,Buala,SB,84.72,light rain,-8.145,159.5921,Maringe Lagoon Lodge
362,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
366,Port-Gentil,GA,80.83,moderate rain,-0.7193,8.7815,Fengshui Residence
374,Alampur,IN,88.03,broken clouds,15.8833,78.15,Haritha Hotel Alampur
379,Inverell,AU,76.66,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
384,Isangel,VU,82.29,overcast clouds,-19.55,169.2667,Tanna Lodge
385,Tahoua,NE,85.37,clear sky,14.8888,5.2692,Bungalows Guesthouse
389,Gizo,SB,83.55,light rain,-8.103,156.8419,Imagination Island
393,Omboue,GA,77.31,moderate rain,-1.5746,9.2618,Hotel Olako
410,Mersing,MY,78.71,scattered clouds,2.4312,103.8405,Timotel Hotel
412,Bowen,AU,78.49,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
415,Guarapari,BR,76.89,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
421,Lorengau,PG,85.19,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
422,Veraval,IN,83.12,clear sky,20.9,70.3667,Lords Inn Somnath
424,San Andres,CO,78.82,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
426,Carutapera,BR,75.18,moderate rain,-1.195,-46.02,Lidera
430,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
431,Polonnaruwa,LK,82.24,scattered clouds,7.9333,81.0,Thisara Guest House
433,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
434,Feicheng,CN,76.62,clear sky,35.2606,117.9675,Royal Garden Hotel
435,Alugan,PH,83.66,overcast clouds,12.2188,125.4808,JM Lodge
443,Dicabisagan,PH,85.71,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
444,Saltillo,MX,76.17,scattered clouds,25.4167,-101.0,City Express Saltillo Sur
